time                   Mass                   Q                   dMdt                dQdt                    fM                      hM                      delta_t               
1841108798.8079581     9.679127618655008e+16  0.2                 -1816508.7560911246 0.0                     3.0207784500610307e+111 0.0                     609461102.9180034     
2450569901.7259617     9.568418475660256e+16  0.2                 -1858786.9115098724 0.0                     3.0207784500610296e+111 0.0                     609461102.9180034     
3060031004.6439652     9.455132643542421e+16  0.2                 -1903595.528830622  0.0                     3.020778450061033e+111  0.0                     609461102.9180034     
3669492107.561969      9.339115900491333e+16  0.2                 -1951184.770125522  0.0                     3.0207784500610296e+111 0.0                     609461102.9180034     
4278953210.4799724     9.22019877829158e+16   0.2                 -2001839.9842346418 0.0                     3.02077845006103e+111   0.0                     609461102.9180034     
4888414313.397976      9.098194417825882e+16  0.2                 -2055888.2375081922 0.0                     3.0207784500610307e+111 0.0                     609461102.9180034     
5497875416.315979      8.972896026555093e+16  0.2                 -2113706.3734055017 0.0                     3.020778450061028e+111  0.0                     609461102.9180034     
6107336519.233982      8.84407384479704e+16   0.2                 -2175731.039143355  0.0                     3.02077845006103e+111   0.0                     609461102.9180034     
6716797622.151985      8.711471500920117e+16  0.2                 -2242471.2681833324 0.0                     3.0207784500610307e+111 0.0                     609461102.9180034     
7326258725.069988      8.574801599683222e+16  0.2                 -2314524.419075587  0.0                     3.020778450061031e+111  0.0                     609461102.9180034     
7935719827.987991      8.433740339165176e+16  0.2                 -2392596.5730166207 0.0                     3.02077845006103e+111   0.0                     609461102.9180034     
8545180930.905994      8.28792088454232e+16   0.2                 -2477528.929327428  0.0                     3.020778450061032e+111  0.0                     609461102.9180034     
9154642033.823997      8.136925133164405e+16  0.2                 -2570332.380783589  0.0                     3.0207784500610296e+111 0.0                     609461102.9180034     
9764103136.742         7.980273372398582e+16  0.2                 -2672233.413513115  0.0                     3.020778450061029e+111  0.0                     609461102.9180034     
10373564239.660004     7.817411140053178e+16  0.2                 -2784735.94716933   0.0                     3.0207784500610275e+111 0.0                     609461102.9180034     
10983025342.578007     7.647692315883454e+16  0.2                 -2909706.028071863  0.0                     3.02077845006103e+111   0.0                     609461102.9180034     
11592486445.49601      7.47035705137987e+16   0.2                 -3049489.9626070177 0.0                     3.020778450061029e+111  0.0                     609461102.9180034     
12201947548.414013     7.284502499785085e+16  0.2                 -3207082.517449742  0.0                     3.020778450061029e+111  0.0                     609461102.9180034     
12811408651.332016     7.089043294961687e+16  0.2                 -3386372.0444700927 0.0                     3.0207784500610285e+111 0.0                     609461102.9180034     
13420869754.25002      6.882657090850344e+16  0.2                 -3592507.326820915  0.0                     3.0207784500610296e+111 0.0                     609461102.9180034     
